title,genre,director,country,year,Rate IMDb
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
3: История Дейла Эрнхардта,биографическая   спортивная   драма,Рассел Малкэхи,США,,6.7
Чудотворец из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
Четыре,драма,Илья Хржановский,Россия   Нидерланды,2004,6.5
?,драматический фильм [1],Ханун Брамантйо [d] [1],Индонезия,7 апреля   2011,7.0
«SOS» над тайгой,"драма ,  приключения","Аркадий Кольцатый ,   Валентин Перов",СССР,1976,5.1
4 американских композитора,"документальный ,  музыкальный",Питер Гринуэй,Великобритания,1983,7.4
...а пятый всадник – Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
3 ночи в пустыне,драма,Гэбриэль Коуэн [en],США,2014,4.6
3 идиота,комедия  /  драма,Раджкумар Хирани,Индия,2009,8.4
2pac: Легенда,байопик драма боевик,Бенни Бум,США,2017,5.9
2+1,драма семейный,Хьюго Желен,Франция   Великобритания,2016,7.3
2:37,драматический фильм [1] [2],Мулари К. Теллури [d] [1] [2] […],Австралия,2006,6.8
2:22,триллер,Пол Карри     (англ.)  ( рус.,США   Австралия,2017,5.7
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,4.7
55 дней в Пекине,"драма ,  исторический ,  военный",Николас Рэй,США,1963,6.7
55,документальный фильм,Никита Михалков,Россия,2007,
51,фантастика фильм ужасов,Джейсон Коннери,США,2011,3.5
50 таблеток,Драма,Тео Эвгерино,США,2006,4.9
50 первых поцелуев,романтическая комедия,Питер Сигал,США,2004,6.8
50 оттенков голубого,драма,Стюарт Мейн,Новая Зеландия,2005,5.7
49 дней,"драма ,  приключения",Генрих Габай,СССР,1962,7.9
47 ронинов,фэнтези боевик драма,Карл Ринш,США   Япония,2013,6.2
45-й калибр,драма,Гари Леннон,США,2006,5.5
45 лет,драма,Эндрю Хэйг [en],Великобритания,2015,7.1
44 минуты: Бойня в северном Голливуде,"боевик, драма, криминал.",Ив Симоно.,США,2003,6.3
42-я улица,комедия мюзикл мелодрама,Ллойд Бэкон Басби Беркли   (муз. номера),США,1933,7.3
42 / Номер 42,драма спортивный фильм,Брайан Хелгеленд,США [2] [3],12 апреля   2013  и  8 августа   2013 [1],7.5
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,7.8
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,5.6
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,6.8
38-я параллель,драма боевик военный,Кан Джегю,Республика Корея,2004,8.0
36 безумных кулаков,боевик комедия драма,Чэнь Чжихуа,Гонконг,1977,5.0
34-й скорый,Фильм-катастрофа,Андрей Малюков,СССР,1981,6.3
33,драма,Патрисия Ригген,США   Чили   Колумбия,2015,6.9
 ,"драма ,  мелодрама",Дени Вильнёв,Канада,1998,6.5
32 декабря,"комедия ,  фантастика",Александр Муратов,Россия,2004,5.0
31-й километр,"ужасы ,  мистика",Ригоберто Кастаньеда,Мексика   Испания,2006,5.3
100 миллионов евро,комедия,Оливье Барру,Франция,2011,5.4
100 метров,драма комедия,Марсель Баррена,Испания   Португалия,2016,7.5
100 дней с Мистером Высокомерие,романтическая кинокомедия мелодрама,Шин Джэ-хо [d],Республика Корея,2004,6.0
100 девчонок и одна в лифте,комедия,Майкл Дэвис,США,2000,5.8
100 всадников,Исторический фильм,Витторио Коттафави,Италия   Испания   ФРГ,1964,6.3
100 вещей и ничего лишнего,комедийный фильм,Флориан Давид Фиц [d],Германия,2018,6.3
99 франков,"комедия ,  драма",Ян Кунен,Франция,2007,7.2
800 льё вниз по Амазонке,приключения,Луис Льоса,Перу     США,1993,4.4
713-й просит посадку,"драма   триллер ,  приключение фильм-катастрофа",Григорий Никулин,СССР,1962,6.6
711 Оушен Драйв,Фильм нуар,Джозеф М. Ньюман,США,1950,6.8
600 миль,драматический фильм,Габриэль Рипштейн [d],Мексика,6 февраля   2015,5.5
500 дней лета,романтическая   комедийная драма,Марк Уэбб,США,2009,7.7
451 градус по Фаренгейту,"драматический фильм ,  дистопия [d] ,  научно-фантастический фильм  и  экранизация романа [d]",Рамин Бахрани,США,,5.0
451° по Фаренгейту,антиутопия,Франсуа Трюффо,Франция   Великобритания,"23 декабря   1966 [1] ,  14 ноября   1966 [2] ,  1966 ,  15 сентября   1966 [2]  и  16 сентября   1966 [2]",7.2
2050,"научная фантастика ,  драма",Принстон Холт,США,2018,3.8
2046,драма мелодрама фантастика,Вонг Карвай,Китай   Гонконг,2004,7.4
2036: Nexus Dawn,"антиутопический фильм ,  научно-фантастический фильм  и  киберпанк",Люк Скотт,США,30 августа   2017,6.9
2036: Происхождение неизвестно,научная фантастика,Хасраф Дулулл,Великобритания,2018,4.3
2030 — Восстание молодых немцев,фантастика драма,Йорг Людорф,Германия,2011,5.5
2019: После падения Нью-Йорка,боевик фильм ужасов фантастика постапокалиптика,Сержо Мартино,Франция   Италия,1983,5.5
2012: Ледниковый период,научно-фантастический   фильм-катастрофа,Трэвис Форт,США,2011,2.2
2012,научно-фантастический   фильм-катастрофа,Роланд Эммерих,США,2009,5.8
Абсолон,фантастический боевик,Дэвид Барто,Великобритания       Канада,2003,4.2
Абрикосовые рощи,драма   мелодрама,Пуриа Хейдари Урех,Армения,2016,7.5
"Абраксас, хранитель Вселенной",боевик,Дэмьен Ли,США,1991,2.9
Абориген,Драма,Елена Николаева,СССР,1988,7.0
"Аборт: Истории, рассказанные женщинами",документальный фильм,Трейси Дроз Трагос [1],США,2016,7.2
Абитуриентка,Драма,Алексей Мишурин,СССР,1973,6.1
Абель,комедия,Алекс ван Вармердам,Нидерланды,1986,7.4
"Абдулладжан, или Посвящается Стивену Спилбергу","фантастический фильм ,  комедия",Зульфикар Мусаков,СССР,1991,6.9
Автор,драма   комедия,Мануэль Мартин Куенка,Испания     Мексика,2017,6.5
"Автомобиль, скрипка и собака Клякса",комедия   музыкальный фильм   сказка,Ролан Быков,СССР,1974,6.7
Автомобиль на крыше,"исторический, комедия, драма, экранизация",Дмитрий Кесаянц,СССР,1980,3.8
Автомобиль,"фильм ужасов ,  фильм-тайна  и  фильм-триллер",Эллиот Силверштейн [d],США,"13 мая   1977 [1] ,  13 августа   1977 [1] ,  15 сентября   1977 [1] ,  28 сентября   1977 [1] ,  10 октября   1977 [1] ,  10 ноября   1977 [1] ,  23 ноября   1977 [1] ,  22 декабря   1977 [1] ,  23 декабря   1977 [1] ,  19 января   1978 [1] ,  2 июня   1978 [1] ,  22 июня   1978 [1] ,  4 мая   1979 [1]  и  февраль  1980 [1]",6.1
"Автомобили, которые съели Париж",фильм ужасов  /  комедия,Питер Уир,Австралия,1974,5.6
Автомат,документальный фильм,Лиза Гурвиц,США,2021,7.8
Автокатастрофа,"драма ,  триллер",Дэвид Кроненберг,Канада [3] [4] […]   Великобритания [3],"17 мая   1996 [1] ,  4 октября   1996 [1] ,  31 октября   1996 [2]  и  1996",6.4
Автобусная остановка,комедийная   драма,Джошуа Логан,США,1956,6.3
Автобус отходит в 6.20,"драма ,  соцреализм",Ян Рыбковский,Польша,1954,5.4
Автобус,комедия,Арне Скуэн,Норвегия,1961,6.9
Автобан,боевик,Эрен Криви [en],Германия   США   Великобритания,2016,5.7
Австрийское поле,драма,Андрей Черных,СССР,1991,6.8
Австрийка,драма исторический фильм,Пьер Гранье-Дефер,Франция,1989,6.0
Авиценна,"Биографический фильм ,  исторический фильм",Камиль Ярматов,СССР,1956,6.6
